Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
Potri.004G085400.1.p	0	1	1	0	1	0
Potri.017G078200.1.p	0	1	1	1	1	0
Potri.006G117400.1.p	0	1	0	0	0	0
Potri.006G185000.1.p	0	1	1	0	0	0
Potri.011G024500.2.p	0	1	1	0	0	0
Potri.013G070600.3.p	0	1	0	0	0	0
Potri.014G032400.1.p	0	1	1	0	0	0
B0D0U4	0	1	0	0	0	0
Potri.004G160300.2.p	0	1	0	0	0	0
B0DVT9	0	1	0	0	0	0
Potri.005G001700.1.p	0	1	0	0	0	0
Potri.014G192601.1.p	0	1	1	1	1	0
Potri.013G000500.1.p	0	1	0	0	0	0
B0CSI2	0	1	0	0	0	0
Potri.001G357000.1.p	0	1	0	0	0	0
B0CNE8	0	1	1	0	0	0
Potri.009G027000.3.p	0	1	0	0	0	0
Potri.019G033700.1.p	0	1	0	0	0	0
Potri.010G185500.5.p	0	1	0	0	0	0
Potri.008G043800.1.p	0	1	0	0	0	0
Potri.001G278400.2.p	0	1	1	0	0	0
Potri.006G141200.1.p	0	1	1	0	0	0
B0DUH4	0	1	0	0	0	0
Potri.002G179500.1.p	0	1	0	0	0	0
Potri.011G026600.1.p	0	1	1	0	0	0
B0DQI1	0	1	1	0	0	0
Potri.018G019600.2.p	0	1	1	0	0	0
Potri.005G113900.1.p	0	1	1	0	0	0
B0E0F4	0	1	0	0	0	0
Potri.018G083500.1.p	0	1	1	1	1	1
Potri.012G074900.2.p	0	1	1	0	1	0
Potri.007G069300.1.p	0	1	0	0	0	0
Potri.009G116400.1.p	0	1	1	1	1	0
Potri.004G075200.1.p	0	1	0	0	0	0
B0DK83	0	1	0	0	0	0
B0CSV0	0	1	0	0	0	0
Potri.001G300900.1.p	0	1	0	0	0	0
Potri.003G161900.1.p	0	1	1	1	1	0
Potri.011G053600.2.p	0	1	1	0	0	0
Potri.011G125500.2.p	0	1	1	0	0	0
Potri.019G010400.1.p	0	1	0	1	1	1
Potri.005G093100.3.p	0	1	0	0	0	0
B0CS62	0	1	0	0	0	0
B0E252	0	1	0	0	0	0
B0DBJ8	0	1	0	0	0	0
B0CXP4	0	1	0	0	0	0
B0DGZ0	0	1	1	0	0	0
Potri.001G162800.1.p	0	1	0	0	0	0
Potri.008G131100.2.p	0	1	1	0	0	0
Potri.010G116600.1.p	0	1	1	0	0	0
B0DX29	0	1	1	0	0	0
Potri.016G017100.1.p	0	1	0	0	0	0
Potri.015G144700.1.p	0	1	0	0	0	0
Potri.001G309500.1.p	0	1	1	0	1	1
B0D882	0	1	0	0	0	0
B0CPR9	0	1	1	0	0	0
Potri.011G080500.2.p	0	1	1	0	0	0
B0CVU2	0	1	0	0	0	0
Potri.013G001150.1.p	0	0	0	1	1	0
B0CYN5	0	1	0	0	0	0
B0CQU7	0	1	1	0	0	0
Potri.001G167300.1.p	0	1	1	0	0	0
Potri.006G130900.2.p	0	1	0	1	1	0
B0D3G9	0	1	0	0	0	0
B0CXG6	0	1	0	0	0	0
Potri.018G070100.2.p	0	1	1	0	0	0
B0D8X8	0	1	0	0	0	0
Potri.003G058400.2.p	0	1	0	0	0	0
Potri.006G205700.2.p	0	1	0	0	0	0
B0CQ68	0	1	0	0	0	0
Potri.001G391900.7.p	0	1	0	0	0	0
Potri.005G083100.5.p	0	1	0	0	0	0
B0CW03	0	1	0	0	0	0
B0DEG6	0	1	1	0	0	0
Potri.002G081900.1.p	0	1	0	0	0	0
Potri.006G042200.1.p	0	1	0	0	0	0
Potri.007G069600.1.p	0	1	0	0	0	0
B0CY36	0	1	1	0	0	0
Potri.014G018900.1.p	0	1	0	0	0	1
Potri.010G100600.1.p	0	1	1	0	1	1
B0CVR9	0	1	0	0	0	0
Potri.019G059500.1.p	0	1	0	0	1	0
